learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
280000.0,8.933697988,-5.622985003756669E-10,280000.0,82.85642857142858,74.2832645093327,74.25075501150621,74.2286361610858,280000.0,-482.0,111.0,56.0,56.0,8.0,0.0,0.0,1.0
290000.0,9.222792173,-6.003660364330021E-10,290000.0,82.87034482758621,74.30434661554585,74.2832589586159,74.25567089381681,290000.0,-509.0,117.0,59.0,59.0,8.0,0.0,0.0,1.0
300000.0,9.530687046,-6.440953269225751E-10,300000.0,82.909,74.36238443812535,74.33925059180928,74.32511604849249,300000.0,-549.0,125.0,63.0,63.0,8.0,0.0,0.0,1.0
310000.0,9.812613658,-6.861056658250486E-10,310000.0,82.94258064516129,74.41267253600256,74.39049196524569,74.38615017220249,310000.0,-576.0,131.0,66.0,66.0,8.0,0.0,0.0,1.0
320000.0,10.097444397,-7.298750998589417E-10,320000.0,82.96875,74.45198199589557,74.4316315903056,74.43055197166248,320000.0,-594.0,135.0,68.0,68.0,10.0,0.0,0.0,1.0
330000.0,10.392105307,-7.751551188199987E-10,330000.0,83.01121212121213,74.51597781108454,74.4949069882763,74.49316639065314,330000.0,-594.0,135.0,68.0,68.0,10.0,0.0,0.0,1.0
340000.0,10.682869929,-8.21190380402582E-10,340000.0,83.04558823529412,74.56758040055009,74.54292527821941,74.54461151222098,340000.0,-612.0,139.0,70.0,70.0,10.0,0.0,0.0,1.0
350000.0,10.97079558,-8.681169206553346E-10,350000.0,83.07114285714286,74.60579639854333,74.5902342376341,74.58107748672231,350000.0,-630.0,143.0,72.0,72.0,10.0,0.0,0.0,1.0
360000.0,11.263618831,-9.172052433804816E-10,360000.0,83.11333333333333,74.6691293817882,74.64845118350597,74.63607575131738,360000.0,-648.0,147.0,74.0,74.0,10.0,0.0,0.0,1.0
370000.0,11.572882162,-9.697696090836284E-10,370000.0,83.16162162162162,74.74162495087224,74.72350922176872,74.70411258135634,370000.0,-657.0,149.0,75.0,75.0,10.0,0.0,0.0,1.0
380000.0,11.887089051,-1.0238244977694315E-9,380000.0,83.19973684210527,74.79887920970548,74.77996017950825,74.76480726053822,380000.0,-665.0,151.0,76.0,76.0,10.0,0.0,0.0,1.0
390000.0,12.220530251,-1.084380054558472E-9,390000.0,83.23692307692308,74.85449661085983,74.8316683028238,74.82178137745376,390000.0,-702.0,159.0,80.0,80.0,10.0,0.0,0.0,1.0
400000.0,12.555491908,-1.1475514184994E-9,400000.0,83.2595,74.88828692813611,74.86977407490805,74.85014197076454,400000.0,-729.0,165.0,83.0,83.0,10.0,0.0,0.0,1.0
410000.0,12.854464108,-1.2060237258983153E-9,410000.0,83.25902439024391,74.88757644083269,74.87241816091787,74.85244063735387,410000.0,-756.0,171.0,86.0,86.0,10.0,0.0,0.0,1.0
420000.0,13.16136885,-1.2674765985117602E-9,420000.0,83.27238095238096,74.90782011173609,74.89700612067702,74.87671869691931,420000.0,-774.0,175.0,88.0,88.0,10.0,0.0,0.0,1.0
430000.0,13.472166159,-1.3300305107065165E-9,430000.0,83.27697674418604,74.91483407742679,74.90096020607258,74.88307596656618,430000.0,-778.0,181.0,91.0,91.0,10.0,0.0,0.0,1.0
