learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
110000.0,2.528598477,-3.383021953075917E-11,110000.0,82.13818181818182,73.20887887048345,73.2352540525814,73.02543966830956,110000.0,-109.0,31.0,16.0,16.0,6.0,0.0,0.0,1.0
120000.0,2.657776238,-3.794068016680992E-11,120000.0,82.17666666666666,73.26688846041554,73.29204180766973,73.1107227719038,120000.0,-123.0,35.0,18.0,18.0,6.0,0.0,0.0,1.0
130000.0,2.818222835,-4.3627228133328666E-11,130000.0,82.23692307692308,73.35795015571505,73.36624299324122,73.2036761975492,130000.0,-137.0,39.0,20.0,20.0,6.0,0.0,0.0,1.0
140000.0,2.985244553,-4.984927199030708E-11,140000.0,82.33928571428571,73.51136879941276,73.51138822823596,73.3650044705857,140000.0,-144.0,41.0,21.0,21.0,6.0,0.0,0.0,1.0
150000.0,3.153685427,-5.642921395004829E-11,150000.0,82.43599999999999,73.65646843808194,73.65689774124846,73.5237367849821,150000.0,-151.0,43.0,22.0,22.0,6.0,0.0,0.0,1.0
160000.0,3.337280733,-6.426609304914664E-11,160000.0,82.50874999999999,73.76583012720349,73.76123908905952,73.61976490993241,160000.0,-165.0,47.0,24.0,24.0,6.0,0.0,0.0,1.0
170000.0,3.497678974,-7.169372304808348E-11,170000.0,82.53882352941176,73.80988535471367,73.80769604080085,73.66899072152145,170000.0,-179.0,51.0,26.0,26.0,6.0,0.0,0.0,1.0
180000.0,3.631146628,-7.811596407089382E-11,180000.0,82.60833333333333,73.91512357701873,73.90728145629126,73.76294880820676,180000.0,-186.0,53.0,27.0,27.0,7.0,0.0,0.0,1.0
190000.0,3.781288931,-8.615624175174161E-11,190000.0,82.66157894736843,73.99472491318694,73.98853515254879,73.85123389663684,190000.0,-207.0,59.0,30.0,30.0,7.0,0.0,0.0,1.0
200000.0,3.906085904,-9.306524591132376E-11,200000.0,82.7565,74.136740971461,74.11410599953463,74.00464323941326,200000.0,-214.0,61.0,31.0,31.0,7.0,0.0,0.0,1.0
210000.0,4.035750603,-1.0071335779425376E-10,210000.0,82.81619047619047,74.22597502278279,74.20420184286338,74.10349702541139,210000.0,-228.0,65.0,33.0,33.0,7.0,0.0,0.0,1.0
