learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
710000.0,6.01,0.0,710000.0,93.77535211267606,87.21806507991782,87.24070732587514,85.22405475073637,710000.0,0.0,865.0,550.0,550.0,8.0,0.0,0.0,1.0
720000.0,6.1,0.0,720000.0,93.80777777777777,87.28492386618727,87.30675716457598,85.30045960791554,720000.0,0.0,881.0,561.0,561.0,8.0,0.0,0.0,1.0
730000.0,6.2,0.0,730000.0,93.8358904109589,87.34291436502004,87.3660389648676,85.36731302659689,730000.0,0.0,890.0,567.0,567.0,8.0,0.0,0.0,1.0
740000.0,6.28,0.0,740000.0,93.86351351351352,87.39961858679285,87.42091325111637,85.4316916048559,740000.0,0.0,900.0,572.0,572.0,8.0,0.0,0.0,1.0
750000.0,6.36,0.0,750000.0,93.88866666666667,87.4516244522147,87.4716413830805,85.49208529710602,750000.0,0.0,925.0,589.0,589.0,8.0,0.0,0.0,1.0
760000.0,6.45,0.0,760000.0,93.9167105263158,87.50859269871782,87.52805533375057,85.55575342337362,760000.0,0.0,958.0,613.0,613.0,8.0,0.0,0.0,1.0
770000.0,6.54,0.0,770000.0,93.94441558441558,87.56542441383593,87.58516759278243,85.62053609976932,770000.0,0.0,965.0,618.0,618.0,8.0,0.0,0.0,1.0
780000.0,6.62,0.0,780000.0,93.9676923076923,87.61411535823137,87.63221532961833,85.67858697339466,780000.0,0.0,983.0,630.0,630.0,8.0,0.0,0.0,1.0
790000.0,6.71,0.0,790000.0,93.99556962025316,87.67170380857571,87.68839851850697,85.74596659084148,790000.0,0.0,994.0,637.0,637.0,8.0,0.0,0.0,1.0
800000.0,6.81,0.0,800000.0,94.024,87.73052978163061,87.74694237413243,85.8155860030975,800000.0,0.0,1002.0,641.0,641.0,8.0,0.0,0.0,1.0
810000.0,6.9,0.0,810000.0,94.05012345679012,87.7844566578006,87.80062422004137,85.87854032735393,810000.0,0.0,1027.0,658.0,658.0,8.0,0.0,0.0,1.0
820000.0,6.99,0.0,820000.0,94.07926829268293,87.84468667530665,87.86371362863714,85.94952827458471,820000.0,0.0,1033.0,661.0,661.0,8.0,0.0,0.0,1.0
830000.0,7.08,0.0,830000.0,94.10493975903614,87.8975208575105,87.91581151935905,86.00997306585998,830000.0,0.0,1044.0,668.0,668.0,8.0,0.0,0.0,1.0
840000.0,7.17,0.0,840000.0,94.13547619047618,87.9606926180234,87.98156565102089,86.0842987206323,840000.0,0.0,1055.0,675.0,675.0,8.0,0.0,0.0,1.0
850000.0,7.26,0.0,850000.0,94.16141176470589,88.01408212378419,88.03542024778744,86.14625322420359,850000.0,0.0,1064.0,681.0,681.0,8.0,0.0,0.0,1.0
