Provincia, PoblacionTotal,Hombres,Mujeres,Mayores20,Mayores65,IncrPoblacion,Extranjeros,Nacimientos,Defunciones,MatrimoniosDistintoSexo,VehiculosParticulares
Almería,1294,0.51,0.49,14.14,26.43,-14.02,0.07,0.00,0.01,3,671
Almería,1208,0.51,0.49,13,25.75,-9.78,0.06,0.00,0.01,3,711
Almería,24713,0.51,0.49,22.55,13.34,4.96,0.12,0.01,0.01,79,10361
Almería,796,0.51,0.49,12.31,40.33,20.61,0.38,0.01,0.01,1,409
Almería,613,0.49,0.51,9.14,33.61,-15.68,0.01,0.00,0.02,0,288
Almería,11144,0.51,0.49,19.74,19.49,1.31,0.26,0.01,0.01,26,6028
Almería,815,0.53,0.47,12.39,25.03,-15.72,0.01,0.00,0.01,0,370
Almería,572,0.55,0.45,10.49,31.12,-7.29,0.07,0.00,0.00,1,352
Almería,158,0.47,0.53,6.96,28.48,11.27,0.01,0.00,0.00,0,92
Almería,677,0.52,0.48,15.95,20.24,-3.7,0.03,0.02,0.03,4,361
Almería,3687,0.50,0.50,20.99,18.52,4.69,0.08,0.01,0.01,18,1751
Almería,217,0.51,0.49,15.67,25.35,-15.89,0.00,0.01,0.01,0,102
Almería,194515,0.49,0.51,22.09,15.22,4.97,0.10,0.01,0.01,636,85741
Almería,172,0.48,0.52,9.88,30.23,10.26,0.05,0.01,0.02,1,74
Almería,134,0.56,0.44,6.72,30.6,2.29,0.03,0.00,0.01,0,53
Almería,3159,0.50,0.50,20.73,18.33,0.06,0.18,0.01,0.01,9,1955
Almería,4538,0.50,0.50,11.26,40.41,33.39,0.66,0.00,0.01,4,2343
Almería,326,0.49,0.51,14.42,26.07,1.56,0.04,0.01,0.03,3,166
Almería,272,0.51,0.49,9.56,35.29,-6.21,0.01,0.00,0.02,0,129
Almería,2678,0.52,0.48,22.96,11.2,-,0.20,0.00,0.00,0,-
Almería,323,0.55,0.45,9.91,24.46,16.61,0.05,0.00,0.02,0,154
Almería,220,0.51,0.49,12.27,32.27,-7.17,0.06,0.00,0.01,0,121
Almería,885,0.49,0.51,11.3,36.95,7.4,0.55,0.01,0.01,3,525
Almería,114,0.48,0.52,3.51,44.74,-10.94,0.00,0.00,0.01,0,70
Almería,4185,0.50,0.50,24.68,11.4,23.23,0.05,0.01,0.01,19,1946
Almería,69,0.58,0.42,0,46.38,4.55,0.00,0.00,0.01,0,25
Almería,280,0.53,0.47,9.29,29.29,-5.09,0.07,0.00,0.01,0,143
Almería,252,0.57,0.43,11.11,25.79,-11.27,0.02,0.01,0.01,0,128
Almería,12380,0.50,0.50,22.13,14.66,-14.33,0.11,0.01,0.01,35,6896
Almería,1279,0.52,0.48,12.28,31.04,-18.07,0.02,0.00,0.02,3,616
Almería,3371,0.51,0.49,14.83,29.07,-8.97,0.19,0.01,0.01,8,1912
Almería,7818,0.51,0.49,21.63,13.62,4.13,0.11,0.01,0.01,26,3635
Almería,139,0.47,0.53,5.76,32.37,-10.32,0.05,0.01,0.00,0,54
Almería,267,0.52,0.48,14.98,27.72,-11,0.04,0.01,0.01,2,150
Almería,1601,0.51,0.49,12.8,35.35,-13.22,0.08,0.00,0.02,4,1046
Almería,169,0.59,0.41,7.1,36.69,-11.98,0.04,0.01,0.01,0,79
Almería,13362,0.52,0.48,22.99,15.32,16.98,0.22,0.01,0.01,36,7128
Almería,3978,0.49,0.51,20.19,18.95,4.49,0.06,0.01,0.01,12,1790
Almería,88752,0.53,0.47,24.99,8.44,16.83,0.34,0.01,0.00,181,37578
Almería,433,0.55,0.45,9.93,24.02,29.25,0.19,0.00,0.01,1,210
Almería,658,0.57,0.43,12.46,22.49,28.27,0.07,0.01,0.01,0,337
Almería,2070,0.51,0.49,15.36,24.01,-14.53,0.03,0.00,0.01,5,1053
Almería,2079,0.52,0.48,19.29,14.77,-1.28,0.10,0.01,0.01,16,1155
Almería,1017,0.52,0.48,13.57,24.19,7.05,0.03,0.00,0.01,4,455
Almería,3030,0.52,0.48,21.95,16.07,2.4,0.08,0.01,0.01,8,1365
Almería,2867,0.51,0.49,16.43,28.88,-8.29,0.37,0.01,0.01,11,1639
Almería,8655,0.52,0.48,23.65,12.05,16.99,0.22,0.01,0.01,22,3510
Almería,1037,0.54,0.46,14.56,26.33,-0.48,0.12,0.01,0.02,7,500
Almería,513,0.48,0.52,16.37,24.95,-3.75,0.02,0.01,0.01,1,244
Almería,17068,0.51,0.49,28.56,6.07,44.45,0.03,0.01,0.00,68,8154
Almería,18589,0.50,0.50,21.91,17.64,14.96,0.17,0.01,0.01,45,9399
Almería,386,0.53,0.47,9.33,29.02,-5.85,0.02,0.00,0.02,0,203
Almería,444,0.49,0.51,13.96,30.18,-12.6,0.04,0.00,0.03,1,220
Almería,176,0.57,0.43,17.61,17.61,37.5,0.03,0.00,0.00,1,81
Almería,1551,0.50,0.50,16.7,23.98,-13.74,0.01,0.01,0.01,3,753
Almería,411,0.52,0.48,12.41,28.95,-17.47,0.05,0.00,0.01,0,255
Almería,1484,0.49,0.51,12.26,37.6,-14.37,0.19,0.01,0.02,1,772
Almería,569,0.53,0.47,11.6,29.35,-15.83,0.11,0.00,0.02,0,309
Almería,754,0.49,0.51,17.24,25.07,-6.45,0.05,0.01,0.02,2,427
Almería,5628,0.51,0.49,19.58,16.54,-7.05,0.04,0.01,0.01,20,3047
Almería,1294,0.51,0.49,13.29,29.37,-15.54,0.04,0.01,0.01,4,943
Almería,6490,0.50,0.50,14.1,27.4,1.31,0.49,0.01,0.01,20,4357
Almería,8740,0.55,0.45,26.08,7.91,11.38,0.38,0.01,0.01,19,4579
Almería,483,0.50,0.50,10.77,26.29,6.86,0.17,0.00,0.02,0,264
Almería,28579,0.54,0.46,25.07,9.71,9.62,0.40,0.02,0.01,92,14590
Almería,651,0.49,0.51,10.75,31.34,-14.9,0.02,0.01,0.02,3,267
Almería,194,0.54,0.46,4.64,34.54,1.57,0.04,0.00,0.01,0,91
Almería,6216,0.52,0.48,21.59,15.14,-2.95,0.07,0.01,0.01,20,3313
Almería,2330,0.52,0.48,11.67,30.9,-11.03,0.23,0.00,0.02,4,1423
Almería,449,0.51,0.49,10.02,35.19,-14.15,0.03,0.00,0.01,1,208
Almería,915,0.49,0.51,9.29,39.02,34.76,0.62,0.00,0.01,1,446
Almería,372,0.58,0.42,9.95,31.99,-8.37,0.03,0.00,0.01,1,193
Almería,3900,0.51,0.49,23.33,11.69,12.62,0.08,0.01,0.01,23,1758
Almería,8909,0.52,0.48,23.19,13.12,18.2,0.26,0.01,0.01,29,4826
Almería,1638,0.52,0.48,19.41,19.47,-0.91,0.06,0.01,0.01,6,799
Almería,316,0.53,0.47,8.54,33.86,-13.42,0.00,0.00,0.02,0,124
Almería,1356,0.50,0.50,19.84,14.75,-0.51,0.04,0.01,0.02,6,710
Almería,91965,0.51,0.49,24.78,8.29,28.19,0.27,0.01,0.00,305,38537
Almería,241,0.52,0.48,9.13,31.54,-1.63,0.04,0.00,0.01,0,128
Almería,431,0.50,0.50,12.99,25.75,-7.91,0.08,0.01,0.02,1,188
Almería,322,0.53,0.47,6.83,34.47,-2.72,0.04,0.00,0.01,2,198
Almería,2135,0.51,0.49,15.27,27.49,-11.85,0.04,0.01,0.02,2,1174
Almería,401,0.53,0.47,12.97,24.69,-15.04,0.05,0.00,0.02,1,207
Almería,477,0.49,0.51,13.84,27.25,-9.83,0.07,0.01,0.02,2,254
Almería,2541,0.52,0.48,17.51,25.46,-10.4,0.18,0.01,0.02,5,1490
Almería,235,0.55,0.45,13.62,21.28,-7.12,0.15,0.00,0.01,0,127
Almería,3654,0.52,0.48,17.82,18.42,4.58,0.22,0.01,0.01,5,1863
Almería,972,0.49,0.51,13.17,31.89,-12.12,0.14,0.00,0.02,2,522
Almería,362,0.52,0.48,11.05,30.11,-12.98,0.13,0.00,0.01,1,245
Almería,395,0.50,0.50,9.87,33.16,-10.23,0.08,0.00,0.02,1,222
Almería,3676,0.49,0.51,21.71,18.63,-5.18,0.04,0.01,0.01,4,1910
Almería,625,0.52,0.48,9.12,29.76,7.57,0.05,0.01,0.02,0,302
Almería,3351,0.51,0.49,19.87,23.04,10.05,0.31,0.01,0.01,11,1817
Almería,238,0.57,0.43,8.82,28.15,-4.42,0.11,0.00,0.01,2,132
Almería,871,0.50,0.50,14.01,27.67,-13.16,0.08,0.01,0.02,7,485
Almería,327,0.50,0.50,11.31,26.3,-5.76,0.13,0.00,0.02,0,189
Almería,256,0.54,0.46,3.13,38.28,2.4,0.01,0.00,0.02,1,135
Almería,1984,0.52,0.48,13.71,28.48,-8.36,0.14,0.01,0.01,5,1149
Almería,6692,0.49,0.51,17.56,23.66,-4.74,0.12,0.01,0.01,15,3618
Almería,15168,0.51,0.49,25.85,12.28,35.93,0.23,0.01,0.01,38,6612
Almería,5699,0.52,0.48,23.04,9.97,32.91,0.05,0.01,0.01,20,2714
Almería,24957,0.53,0.47,25.36,8.02,23.43,0.29,0.01,0.01,84,11246
Almería,2939,0.50,0.50,13.71,32.63,19.42,0.39,0.00,0.01,6,1723
Cádiz,5316,0.51,0.49,20.6,15.56,-5.91,0.01,0.01,0.01,14,2259
Cádiz,5174,0.51,0.49,19.21,17.49,-3.87,0.01,0.01,0.01,17,2240
Cádiz,1429,0.51,0.49,17.28,21.62,-11.41,0.01,0.01,0.01,7,758
Cádiz,120601,0.49,0.51,23.4,14.72,6.79,0.07,0.01,0.01,445,56106
Cádiz,5650,0.51,0.49,19.56,19.72,-0.98,0.02,0.01,0.01,15,2159
Cádiz,31114,0.50,0.50,22.47,14.32,4.04,0.02,0.01,0.01,119,13044
Cádiz,22720,0.50,0.50,21.05,15.55,0.52,0.03,0.01,0.01,59,8310
Cádiz,23316,0.50,0.50,24.16,11.64,11.71,0.04,0.01,0.01,109,11247
Cádiz,7003,0.51,0.49,21.95,12.82,2.01,0.02,0.01,0.01,31,2964
Cádiz,694,0.53,0.47,13.54,17.44,-3.61,0.02,0.01,0.00,0,318
Cádiz,7864,0.50,0.50,20.43,15.68,-3.39,0.01,0.01,0.01,30,3413
Cádiz,2114,0.50,0.50,20.72,14.95,4.45,0.02,0.01,0.01,10,1000
Cádiz,118919,0.47,0.53,16.45,22.15,-8.92,0.02,0.01,0.01,373,44663
Cádiz,3050,0.50,0.50,22.3,12.79,3.64,0.05,0.01,0.01,11,1602
Cádiz,82645,0.50,0.50,23.99,12.17,14.21,0.03,0.01,0.01,327,34306
Cádiz,19095,0.50,0.50,22.49,14.14,6.37,0.03,0.01,0.01,61,7200
Cádiz,22297,0.50,0.50,21.63,14.52,12.1,0.06,0.01,0.01,95,9734
Cádiz,3912,0.50,0.50,19.45,17.41,-0.94,0.01,0.01,0.01,14,1564
Cádiz,1783,0.52,0.48,17.05,20.47,-6.16,0.03,0.01,0.01,2,832
Cádiz,2144,0.50,0.50,17.07,19.82,-4.41,0.01,0.01,0.01,3,931
Cádiz,212830,0.49,0.51,22.68,14.97,6.66,0.02,0.01,0.01,833,96576
Cádiz,9756,0.51,0.49,21.23,16.77,-1.39,0.15,0.01,0.01,39,4647
Cádiz,63278,0.49,0.51,21.69,16.33,0.4,0.06,0.01,0.01,216,28461
Cádiz,11756,0.51,0.49,21.61,14.64,5.28,0.02,0.01,0.01,47,4775
Cádiz,8233,0.49,0.51,19.57,21.06,-4.4,0.02,0.01,0.01,29,3427
Cádiz,5570,0.52,0.48,23.32,13.57,2.33,0.01,0.01,0.01,18,2242
Cádiz,5767,0.50,0.50,19.47,16.61,-3.79,0.01,0.01,0.01,17,2640
Cádiz,88184,0.49,0.51,22.82,13.92,6.12,0.03,0.01,0.01,354,39536
Cádiz,41467,0.50,0.50,21.89,12.55,8.12,0.02,0.01,0.01,158,16761
Cádiz,7111,0.51,0.49,25.93,12.08,2.17,0.01,0.01,0.01,25,2714
Cádiz,29030,0.50,0.50,21.06,14.5,6.45,0.04,0.01,0.01,121,15542
Cádiz,95949,0.49,0.51,21.95,14.76,2.57,0.01,0.01,0.01,351,38626
Cádiz,4442,0.51,0.49,20.33,17.09,4.67,0.01,0.01,0.01,11,1796
Cádiz,29575,0.50,0.50,23.22,14.11,11.31,0.11,0.01,0.01,98,16946
Cádiz,67620,0.50,0.50,21.89,13.81,6.47,0.01,0.01,0.01,249,26494
Cádiz,2809,0.51,0.49,19.9,19.76,-7.08,0.01,0.01,0.01,3,1247
Cádiz,18116,0.51,0.49,19.63,15.33,3.65,0.09,0.01,0.01,66,6939
Cádiz,795,0.50,0.50,15.47,22.89,-9.04,0.00,0.01,0.02,1,358
Cádiz,7056,0.50,0.50,20.95,16.75,2.1,0.02,0.01,0.01,26,2916
Cádiz,16766,0.49,0.51,19.32,17.59,-2.55,0.01,0.01,0.01,66,7168
Cádiz,12788,0.50,0.50,21.32,16.24,-0.1,0.04,0.01,0.01,52,5790
Cádiz,457,0.53,0.47,15.75,20.13,-4.99,0.00,0.00,0.01,2,158
Cádiz,12267,0.50,0.50,22.11,14.74,-0.2,0.01,0.01,0.01,42,5233
Cádiz,1427,0.51,0.49,18.22,22.49,-8.05,0.01,0.01,0.01,7,665
Córdoba,4270,0.51,0.49,17.96,19.79,-4.6,0.02,0.01,0.01,9,2015
Córdoba,13511,0.50,0.50,20.19,17.59,-1.07,0.02,0.01,0.01,44,5578
Córdoba,1495,0.48,0.52,16.45,27.63,0.67,0.02,0.01,0.02,2,728
Córdoba,2431,0.50,0.50,17.98,23.53,-4.14,0.04,0.01,0.01,11,1242
Córdoba,7948,0.50,0.50,21.99,17.02,6.16,0.01,0.01,0.01,30,3735
Córdoba,1558,0.49,0.51,17.46,24.01,1.57,0.01,0.00,0.01,3,677
Córdoba,19782,0.51,0.49,21.65,15.86,-3.54,0.05,0.01,0.01,68,7634
Córdoba,3391,0.48,0.52,17.52,26.48,-4.93,0.01,0.01,0.02,9,1604
Córdoba,3062,0.49,0.51,12.83,27.01,-7.97,0.01,0.01,0.02,11,1447
Córdoba,5035,0.50,0.50,22.05,17.2,-0.73,0.02,0.01,0.01,22,1906
Córdoba,695,0.52,0.48,18.13,24.75,0.58,0.03,0.01,0.01,2,371
Córdoba,7638,0.50,0.50,20.27,19.25,-2.48,0.02,0.01,0.01,28,3318
Córdoba,20704,0.49,0.51,19.32,19.65,-1.1,0.03,0.01,0.01,57,8537
Córdoba,2992,0.51,0.49,14.97,23.09,-6.82,0.02,0.01,0.01,9,1411
Córdoba,2529,0.51,0.49,15.82,23.92,-8.87,0.02,0.00,0.02,7,1118
Córdoba,1552,0.50,0.50,15.27,25.58,-11.31,0.02,0.00,0.02,2,785
Córdoba,13936,0.50,0.50,22.64,15.42,17.05,0.03,0.01,0.01,61,6936
Córdoba,4500,0.50,0.50,19.64,18.89,0.51,0.01,0.01,0.01,12,1991
Córdoba,7917,0.50,0.50,19.14,19.81,-1.95,0.02,0.01,0.01,37,3398
Córdoba,430,0.50,0.50,8.6,33.72,-11.52,0.03,0.00,0.02,2,211
Córdoba,326609,0.48,0.52,20.73,17.77,1.16,0.02,0.01,0.01,1051,145016
Córdoba,4789,0.49,0.51,19.32,20.84,-4.24,0.01,0.01,0.01,14,1645
Córdoba,2453,0.50,0.50,19.28,20.91,-5.36,0.01,0.01,0.01,10,1163
Córdoba,2324,0.50,0.50,19.62,19.58,-4.17,0.01,0.01,0.01,9,1035
Córdoba,3410,0.51,0.49,15.45,26.13,-9.04,0.01,0.01,0.01,15,1598
Córdoba,2487,0.50,0.50,17.33,23.2,2.68,0.02,0.01,0.02,9,1160
Córdoba,9712,0.50,0.50,19.78,18.44,2.21,0.01,0.01,0.01,42,4525
Córdoba,355,0.52,0.48,13.24,25.35,-14.46,0.00,0.00,0.03,1,181
Córdoba,4796,0.51,0.49,14.35,26.27,-11.33,0.01,0.01,0.02,14,2459
Córdoba,10893,0.50,0.50,22.31,15.75,5.19,0.03,0.01,0.01,39,5296
Córdoba,711,0.48,0.52,16.88,25.74,-10.57,0.02,0.00,0.02,0,350
Córdoba,486,0.50,0.50,13.58,27.37,-2.99,0.01,0.00,0.01,2,221
Córdoba,1591,0.50,0.50,20.05,14.33,26.17,0.01,0.01,0.01,14,780
Córdoba,365,0.52,0.48,15.89,36.71,-9.65,0.00,0.02,0.02,0,158
Córdoba,6989,0.49,0.51,16.75,24.8,-7.38,0.01,0.01,0.01,28,3523
Córdoba,4598,0.50,0.50,20.38,17.05,-1.37,0.02,0.01,0.01,12,2518
Córdoba,4461,0.50,0.50,16.41,26.56,-8.3,0.14,0.00,0.01,5,2209
Córdoba,42615,0.50,0.50,23.73,14.36,6.16,0.04,0.01,0.01,190,17842
Córdoba,3071,0.50,0.50,17.1,22.73,-6.74,0.02,0.01,0.01,10,1271
Córdoba,4473,0.50,0.50,18.91,21.46,-3.2,0.01,0.01,0.01,10,2096
Córdoba,3924,0.50,0.50,19.16,20.39,-0.3,0.02,0.01,0.01,13,1870
Córdoba,23365,0.50,0.50,19.9,18.94,-0.89,0.03,0.01,0.01,87,10041
Córdoba,9635,0.49,0.51,21.36,18.12,-0.57,0.03,0.01,0.01,32,3982
Córdoba,1981,0.50,0.50,20.95,17.67,-1,0.01,0.01,0.01,7,929
Córdoba,3819,0.50,0.50,21.73,16.18,-1.67,0.01,0.01,0.01,7,1581
Córdoba,5435,0.51,0.49,19.94,17.72,-2.35,0.01,0.01,0.01,15,2235
Córdoba,2009,0.52,0.48,19.36,14.14,12.17,0.02,0.01,0.01,5,889
Córdoba,1506,0.50,0.50,20.19,20.65,-4.92,0.03,0.01,0.01,5,624
Córdoba,21241,0.50,0.50,21.41,16.26,2.91,0.05,0.01,0.01,83,9494
Córdoba,2903,0.51,0.49,19.63,17.84,-1.06,0.01,0.01,0.01,15,1259
Córdoba,1603,0.48,0.52,13.66,31.07,-4.41,0.01,0.00,0.02,2,738
Córdoba,11160,0.48,0.52,17.13,22.49,-7.39,0.01,0.01,0.01,33,5337
Córdoba,7468,0.50,0.50,20.62,17.8,1.47,0.02,0.01,0.01,27,3412
Córdoba,17292,0.49,0.51,20.41,17.4,0.42,0.04,0.01,0.01,62,7897
Córdoba,22855,0.49,0.51,20.01,20.18,-1.01,0.02,0.01,0.01,83,9772
Córdoba,30072,0.50,0.50,21.85,16.54,5,0.04,0.01,0.01,97,13279
Córdoba,7576,0.50,0.50,19.8,16.94,2.24,0.02,0.01,0.01,36,3222
Córdoba,10042,0.50,0.50,20.36,20.96,-2.59,0.04,0.01,0.01,38,4788
Córdoba,811,0.50,0.50,17.14,24.91,-2.99,0.00,0.01,0.01,3,382
Córdoba,822,0.50,0.50,10.34,37.47,-17.64,0.02,0.00,0.02,1,386
Córdoba,6079,0.51,0.49,20.81,17.5,1.28,0.03,0.01,0.01,21,3271
Córdoba,1150,0.49,0.51,12,34.17,-12.88,0.00,0.00,0.02,5,528
Córdoba,1208,0.50,0.50,13.66,28.81,-11.44,0.03,0.00,0.02,2,597
Córdoba,373,0.48,0.52,15.28,31.1,-10.12,0.02,0.00,0.02,0,191
Córdoba,2353,0.50,0.50,22.27,17.21,25.03,0.02,0.01,0.01,8,1085
Córdoba,7301,0.50,0.50,21.57,17.04,-1.78,0.01,0.01,0.01,25,2829
Córdoba,4918,0.51,0.49,22.35,14.72,20.72,0.01,0.01,0.01,17,2146
Córdoba,669,0.49,0.51,12.56,28.85,-2.62,0.10,0.01,0.02,1,268
Córdoba,9005,0.49,0.51,17.42,22.58,-8.11,0.02,0.01,0.01,37,3918
Córdoba,1520,0.50,0.50,13.95,33.03,-8.76,0.01,0.00,0.02,3,696
Córdoba,1088,0.50,0.50,14.89,26.75,-11.11,0.02,0.01,0.02,9,474
Córdoba,1196,0.49,0.51,12.29,32.53,-11.41,0.01,0.01,0.02,4,601
Córdoba,3374,0.51,0.49,16.09,25.99,-6.3,0.01,0.00,0.02,5,1442
Córdoba,2636,0.50,0.50,14.91,27.39,-7.48,0.00,0.01,0.02,10,1256
Córdoba,657,0.51,0.49,14.31,30.44,-19.98,0.02,0.01,0.02,2,254
Granada,297,0.50,0.50,14.81,29.97,4.95,0.07,0.01,0.01,1,186
Granada,611,0.51,0.49,12.93,24.71,-22.17,0.00,0.00,0.02,2,405
Granada,18497,0.50,0.50,23.73,11.56,15.77,0.04,0.01,0.01,73,8893
Granada,762,0.55,0.45,11.55,23.88,-16.63,0.05,0.00,0.02,1,539
Granada,421,0.52,0.48,12.35,28.74,-6.03,0.01,0.01,0.01,1,254
Granada,6971,0.53,0.47,22.23,13.37,11.18,0.28,0.01,0.01,18,2628
Granada,876,0.50,0.50,12.44,34.25,-18.13,0.02,0.01,0.02,2,409
Granada,639,0.54,0.46,11.89,26.92,-12.1,0.02,0.00,0.01,5,291
Granada,5429,0.51,0.49,21.97,14.2,4.85,0.02,0.01,0.01,29,2797
Granada,2734,0.51,0.49,14.67,28.49,-32.96,0.05,0.01,0.02,9,1533
Granada,6044,0.54,0.46,18.88,17.65,-1.52,0.17,0.01,0.01,12,2772
Granada,8740,0.51,0.49,24.86,10.24,56.66,0.03,0.02,0.01,66,3990
Granada,511,0.51,0.49,17.22,24.66,-8.91,0.01,0.00,0.01,1,276
Granada,377,0.55,0.45,10.88,32.89,-10.45,0.08,0.00,0.02,0,201
Granada,27397,0.50,0.50,18.82,21,4.31,0.20,0.01,0.01,82,11197
Granada,1038,0.55,0.45,11.85,28.13,-9.11,0.17,0.01,0.02,3,505
Granada,703,0.50,0.50,9.96,27.74,-10.79,0.02,0.01,0.03,1,446
Granada,1231,0.51,0.49,13.32,22.34,-44.1,0.06,0.01,0.02,3,1016
Granada,23901,0.50,0.50,22.22,11.02,21.53,0.08,0.01,0.01,93,10310
Granada,18092,0.50,0.50,24.99,10.86,34.7,0.04,0.02,0.01,106,7739
Granada,20656,0.50,0.50,21,17.47,-8.53,0.07,0.01,0.01,58,10906
Granada,1004,0.54,0.46,16.33,23.41,-8.06,0.02,0.01,0.01,2,561
Granada,354,0.50,0.50,18.64,23.73,-5.35,0.02,0.01,0.03,1,195
Granada,3277,0.50,0.50,24.17,17.91,-1.03,0.01,0.01,0.01,16,1500
Granada,1107,0.52,0.48,14.36,24.3,-18.12,0.05,0.01,0.01,5,667
Granada,2359,0.51,0.49,19.42,24.8,1.33,0.05,0.02,0.01,4,1240
Granada,727,0.53,0.47,13.76,23.8,-10.36,0.10,0.00,0.01,3,259
Granada,294,0.50,0.50,11.22,16.67,-19.67,0.10,0.01,0.01,0,187
Granada,276,0.53,0.47,11.23,22.1,-20.69,0.03,0.01,0.01,1,166
Granada,594,0.50,0.50,12.63,31.31,-13.28,0.07,0.00,0.01,1,345
Granada,1528,0.53,0.47,15.77,26.57,-5.74,0.08,0.01,0.02,3,719
Granada,5025,0.48,0.52,24.2,14.49,21.41,0.03,0.01,0.01,17,2393
Granada,700,0.50,0.50,10.43,27.86,-8.62,0.02,0.01,0.02,3,459
Granada,619,0.50,0.50,16.8,17.77,9.56,0.02,0.00,0.01,1,369
Granada,1286,0.52,0.48,18.2,22.01,-12.34,0.03,0.01,0.01,5,699
Granada,379,0.54,0.46,16.36,18.73,3.84,0.32,0.01,0.01,0,138
Granada,4279,0.51,0.49,16.06,23.79,-12.62,0.06,0.01,0.02,21,2586
Granada,520,0.50,0.50,19.42,17.5,-7.8,0.08,0.01,0.01,0,214
Granada,178,0.54,0.46,8.43,26.4,-11,0.25,0.01,0.01,2,97
Granada,244,0.61,0.39,4.92,36.07,-5.79,0.22,0.00,0.03,0,128
Granada,1389,0.53,0.47,12.53,32.47,-14.21,0.08,0.00,0.02,1,756
Granada,2236,0.51,0.49,15.88,29.61,-13.37,0.06,0.01,0.02,6,1175
Granada,7866,0.50,0.50,24.26,8.61,24.05,0.04,0.01,0.00,33,3622
Granada,5421,0.50,0.50,25.24,13.93,21.11,0.02,0.01,0.01,17,2592
Granada,1355,0.53,0.47,17.2,24.13,-6.94,0.10,0.01,0.01,3,740
Granada,14215,0.50,0.50,25.13,9.67,51.13,0.05,0.01,0.01,83,6184
Granada,3201,0.51,0.49,26.3,10.75,38.75,0.04,0.01,0.00,14,1377
Granada,674,0.55,0.45,11.28,26.41,-6.52,0.02,0.01,0.01,0,334
Granada,2096,0.50,0.50,20.42,19.8,0.05,0.01,0.01,0.01,10,951
Granada,1395,0.52,0.48,18.28,21.79,-11.15,0.01,0.01,0.01,2,780
Granada,1993,0.50,0.50,13.35,31.91,-9.66,0.06,0.01,0.02,4,1052
Granada,1020,0.51,0.49,16.27,25.78,-5.82,0.03,0.00,0.01,3,517
Granada,1873,0.50,0.50,16.66,26.05,-9.65,0.10,0.01,0.02,3,1066
Granada,4296,0.50,0.50,16.48,27,-12.29,0.04,0.01,0.01,11,2480
Granada,7198,0.51,0.49,27.26,9.66,22.17,0.04,0.01,0.00,22,3489
Granada,1557,0.50,0.50,27.42,14.9,8.28,0.01,0.01,0.01,3,980
Granada,426,0.51,0.49,14.55,26.76,-23.52,0.01,0.00,0.01,1,219
Granada,727,0.51,0.49,16.64,21.46,-,0.02,0.00,0.01,1,-
Granada,2622,0.50,0.50,21.89,18,5.81,0.01,0.01,0.01,8,1223
Granada,785,0.51,0.49,16.31,22.17,-6.21,0.01,0.01,0.01,0,457
Granada,1910,0.50,0.50,19.42,17.12,19.38,0.04,0.01,0.01,8,1030
Granada,631,0.53,0.47,16.48,28.21,9.55,0.07,0.01,0.01,1,390
Granada,907,0.52,0.48,18.19,24.37,-,0.02,#VALUE!,#VALUE!,-,-
Granada,347,0.54,0.46,16.71,19.02,18.84,0.04,0.00,0.00,0,194
Granada,7050,0.49,0.51,20.87,16.65,2.83,0.03,0.01,0.01,28,3210
Granada,787,0.51,0.49,16.14,19.44,6.64,0.01,0.01,0.01,2,468
Granada,303,0.51,0.49,12.87,37.29,-6.48,0.00,0.00,0.01,1,163
Granada,1016,0.53,0.47,22.64,22.15,-11.27,0.02,0.01,0.01,0,627
Granada,894,0.51,0.49,15.32,25.84,-16.76,0.07,0.01,0.01,3,556
Granada,4395,0.50,0.50,22.12,16.81,6.99,0.03,0.01,0.01,20,2146
Granada,20012,0.51,0.49,25.53,8.62,49.96,0.04,0.01,0.00,143,8463
Granada,1133,0.50,0.50,13.42,32.04,1.25,0.13,0.00,0.01,2,660
Granada,262,0.46,0.54,6.49,37.02,-18.38,0.02,0.00,0.02,0,163
Granada,5539,0.51,0.49,23.47,12.31,11.99,0.03,0.01,0.01,16,2923
Granada,767,0.51,0.49,7.43,38.2,-21.49,0.03,0.00,0.02,1,481
Granada,405,0.52,0.48,11.85,32.84,-23,0.06,0.00,0.01,0,246
Granada,234758,0.46,0.54,18.46,20.48,-1.33,0.06,0.01,0.01,791,109391
Granada,1957,0.51,0.49,22.99,18.4,-11.85,0.02,0.01,0.01,2,1221
Granada,18796,0.49,0.51,20.66,17.74,-7.39,0.04,0.01,0.01,72,8759
Granada,1052,0.54,0.46,11.6,29.28,-21.32,0.06,0.01,0.01,3,479
Granada,4943,0.51,0.49,21.18,13.72,115.48,0.30,0.01,0.01,11,1820
Granada,2909,0.53,0.47,18.15,17.29,-0.21,0.03,0.01,0.01,5,1193
Granada,2540,0.53,0.47,24.02,11.73,17.92,0.02,0.01,0.01,8,1171
Granada,406,0.51,0.49,18.72,21.43,-7.52,0.01,0.00,0.03,0,260
Granada,1156,0.53,0.47,14.53,26.73,-6.02,0.04,0.01,0.02,1,666
Granada,7609,0.49,0.51,19.11,23.3,-7.34,0.03,0.01,0.01,18,4030
Granada,1901,0.51,0.49,18.1,15.83,6.56,0.02,0.01,0.01,4,1140
Granada,10162,0.50,0.50,21.79,15.53,8.8,0.05,0.01,0.01,37,4331
Granada,11777,0.50,0.50,22.06,12.05,9.63,0.03,0.01,0.01,43,5983
Granada,10286,0.50,0.50,18.92,20.11,-0.17,0.02,0.01,0.01,38,5408
