Provincia,latitud,longitud
Granada,37.279813,-3.205855
Granada,37.351599,-3.163817
Granada,37.427879,-3.683163
Granada,37.607633,-2.701921
Granada,36.974446,-3.191147
Granada,36.948922,-3.355294
Granada,36.937826,-3.293932
Granada,37.059221,-3.915746
Granada,36.945012,-3.179024
Granada,37.130964,-3.569971
Granada,37.180948,-3.062998
Granada,37.273153,-3.619165
Granada,37.482540,-3.617924
Granada,36.926250,-3.427590
Granada,37.436447,-2.723643
Granada,36.961374,-3.359281
Granada,36.922994,-3.408891
Granada,36.931246,-3.254039
Granada,37.717944,-2.642456
Granada,37.796422,-2.780551
Granada,37.161076,-3.539527
Granada,37.197107,-3.774796
Granada,37.131041,-3.822115
Granada,37.146366,-3.642134
Granada,37.198001,-3.811109
Granada,37.225009,-3.160038
Granada,37.275828,-3.572052
Granada,37.370732,-3.713244
Granada,37.654349,-2.769855
Granada,37.303659,-3.220931
Granada,37.607270,-2.929712
Granada,37.585096,-2.577663
Granada,37.155903,-3.672920
Granada,37.349038,-3.292713
Granada,37.589221,-3.104597
Granada,37.474043,-3.551398
Granada,37.326003,-3.594422
Granada,37.320442,-3.333050
Granada,37.073087,-3.600216
Granada,37.179423,-2.990917
Granada,37.496780,-3.508974
Granada,37.186193,-3.483782
Granada,36.987721,-3.565782
Granada,37.062370,-3.761785
Granada,37.172632,-3.035208
Granada,37.412939,-3.175703
Granada,37.528959,-2.907832
Granada,37.219235,-3.781910
Granada,37.133956,-3.669168
Granada,37.743234,-2.551498
Granada,37.477432,-3.321171
Granada,37.105131,-3.601228
Granada,37.369470,-2.970421
Granada,37.478986,-3.041934
Granada,37.179937,-3.603489
Granada,37.557303,-3.399143
Granada,37.299432,-3.137783
Granada,36.841019,-3.583913
Granada,36.724169,-3.357781
Granada,37.159422,-3.439771
Granada,37.257362,-3.596672
Granada,37.420179,-3.262759
Granada,37.176069,-2.949747
Granada,37.808859,-2.542583
Granada,37.222414,-3.514935
Granada,37.197567,-4.047580
Granada,37.148494,-3.568207
Granada,37.286919,-3.878936
Granada,36.799310,-3.639706
Granada,37.393801,-3.526840
Granada,36.935456,-3.910665
Granada,36.949134,-3.821973
Granada,37.184022,-3.159459
Granada,36.796038,-3.668152
Granada,37.220025,-3.593065
Granada,36.948890,-3.224512
Granada,37.194805,-3.832257
Granada,36.918663,-3.482453
Granada,37.169595,-3.137975
Granada,36.947469,-3.551854
Granada,36.835337,-3.674387
Granada,36.928990,-3.212635
Granada,37.168307,-4.150467
Granada,37.230072,-3.240852
Granada,36.787171,-3.403798
Granada,37.099180,-3.721871
Granada,37.207383,-3.636042
Granada,37.296800,-3.202760
Granada,37.340083,-3.786036
Granada,36.786211,-3.608938
Granada,37.131845,-3.538852
Granada,37.323208,-4.006818
Granada,37.572454,-3.502798
Granada,37.501107,-3.673367
Granada,37.169925,-3.964689
Granada,37.439455,-3.329823
Granada,36.746959,-3.516763
Granada,36.886626,-3.109304
Granada,37.008858,-3.013240
Granada,36.979501,-3.539107
Granada,37.257782,-3.573020
Granada,37.121402,-3.614801
Granada,37.721041,-2.479255
Granada,36.900622,-3.422117
Granada,36.815726,-3.679886
Granada,37.024647,-3.627913
Granada,36.940325,-3.360744
Granada,37.502941,-3.229995
Granada,37.228619,-3.630239
Granada,37.276705,-3.285043
Granada,37.443373,-3.439517
Granada,36.895022,-3.526463
Granada,37.162963,-3.504331
Granada,37.252366,-3.752669
Granada,37.257681,-3.233530
Granada,36.746941,-3.278132
Granada,36.941766,-3.310832
Granada,37.958149,-2.435575
Granada,37.223302,-3.606876
Granada,37.317144,-3.188610
Granada,37.192935,-3.465460
Granada,36.809360,-3.348366
Granada,37.149715,-4.065713
Granada,36.744731,-3.585703
Granada,37.061646,-3.975769
Granada,37.189228,-3.718267
Granada,36.928009,-3.404798
Granada,36.794787,-3.266776
Granada,36.936036,-3.325805
Granada,37.504507,-3.355632
Granada,36.878982,-3.298823
Granada,37.000699,-3.266022
Granada,36.864420,-3.057025
Granada,36.963687,-3.052779
Granada,37.235062,-3.820238
Granada,36.929117,-3.581793
Granada,37.259209,-3.098412
Granada,36.996122,-3.082321
Granada,37.172928,-3.667192
Granada,36.833175,-3.514473
Granada,37.068440,-3.819271
Granada,37.083578,-3.630909
Granada,36.990101,-3.590112
Granada,37.557487,-3.090387
Granada,37.214846,-4.013191
Granada,37.232210,-3.554566
Granada,36.974529,-4.145176
Granada,37.255493,-4.169499
Granada,37.117076,-3.585393
Granada,37.540038,-2.843329
Huelva,37.874472,-6.663982
Huelva,37.267699,-7.027919
Huelva,37.507280,-7.269627
Huelva,37.873019,-6.788181
Huelva,37.260880,-6.517169
Huelva,37.548134,-7.116282
Huelva,37.891240,-6.565744
Huelva,37.944102,-6.953385
Huelva,38.024422,-6.421929
Huelva,37.215854,-7.402651
Huelva,37.427106,-6.793604
Huelva,37.608144,-6.541857
Huelva,37.341082,-6.539874
Huelva,37.322510,-6.681195
Huelva,37.726552,-7.087281
Huelva,37.971079,-6.316939
Huelva,37.653298,-6.878711
Huelva,37.693706,-6.629030
Huelva,37.766363,-6.575544
Huelva,38.014190,-6.528103
Huelva,37.284054,-7.150904
Huelva,37.895291,-6.704677
Huelva,37.734005,-6.937945
Huelva,37.362819,-6.393219
Huelva,37.895591,-6.505641
Huelva,37.911242,-6.821473
Huelva,37.935278,-6.625101
Huelva,38.072854,-6.692962
Huelva,38.077576,-6.742270
Huelva,38.061622,-6.644602
Huelva,38.137019,-6.871445
Huelva,37.408110,-6.389057
Huelva,37.903329,-6.661626
Huelva,37.926567,-6.708210
Huelva,37.376330,-6.967935
Huelva,37.768744,-6.508717
Huelva,37.520923,-7.417229
Huelva,37.835876,-6.447412
Huelva,38.007737,-6.588433
Huelva,37.290620,-6.380632
Huelva,37.266331,-6.940375
Huelva,37.199053,-7.320091
Huelva,37.916661,-6.728289
Huelva,37.257213,-7.202126
Huelva,37.879937,-6.621284
Huelva,37.304554,-6.729767
Huelva,37.389175,-6.433384
Huelva,37.903264,-6.621895
Huelva,37.693829,-6.595142
Huelva,37.275086,-6.835615
Huelva,37.963412,-6.745789
Huelva,37.694934,-6.547241
Huelva,37.362308,-6.681714
Huelva,37.387761,-6.553824
Huelva,37.227137,-6.895956
Huelva,37.419713,-6.403304
Huelva,37.740431,-7.343905
Huelva,37.613136,-7.248685
Huelva,37.892105,-6.478590
Huelva,37.184670,-6.969702
Huelva,37.307063,-6.597170
Huelva,37.967022,-7.220649
Huelva,37.444977,-7.104419
Huelva,37.315962,-6.840417
Huelva,37.388418,-7.348463
Huelva,37.472837,-7.466291
Huelva,37.864339,-6.724334
Huelva,37.796590,-7.189300
Huelva,37.906751,-6.228204
Huelva,37.383430,-6.834220
Huelva,37.950619,-6.683516
Huelva,37.572375,-6.753387
Huelva,37.303299,-7.342910
Huelva,37.397209,-6.475800
Huelva,37.628060,-7.024112
Huelva,37.499178,-7.271523
Huelva,37.387921,-6.606401
Huelva,37.679135,-6.659700
Huelva,37.833460,-6.341562
Jaén,37.791988,-3.466631
Jaén,37.459525,-3.924561
Jaén,37.588964,-4.081827
Jaén,38.411603,-3.371801
Jaén,38.039392,-4.049229
Jaén,37.936004,-4.059253
Jaén,37.974307,-4.107620
Jaén,38.180941,-3.428968
Jaén,38.320459,-2.896303
Jaén,37.996055,-3.470211
Jaén,38.095673,-3.773915
Jaén,38.174929,-3.773930
Jaén,38.252586,-2.889691
Jaén,37.823528,-3.413632
Jaén,37.984752,-3.530583
Jaén,37.723659,-3.382193
Jaén,38.352494,-2.651312
Jaén,37.704229,-3.287271
Jaén,37.677752,-3.565577
Jaén,37.555511,-3.634283
Jaén,38.047752,-3.482836
Jaén,38.230104,-3.631169
Jaén,37.637452,-3.640014
Jaén,38.275616,-3.613667
Jaén,38.253362,-3.131505
Jaén,37.527729,-3.942397
Jaén,37.984263,-3.882336
Jaén,37.914277,-3.002901
Jaén,38.311553,-3.044314
Jaén,38.000570,-3.031767
Jaén,37.878368,-4.032886
Jaén,38.031932,-3.862390
Jaén,37.486683,-3.837146
Jaén,37.647058,-3.909892
Jaén,37.874332,-3.883206
Jaén,38.430339,-2.733179
Jaén,37.743273,-3.693837
Jaén,38.183165,-3.686666
Jaén,37.797813,-4.157633
Jaén,37.715307,-2.998589
Jaén,38.216501,-2.718311
Jaén,37.647664,-3.455730
Jaén,37.764044,-3.078136
Jaén,38.020940,-3.502252
Jaén,37.920957,-2.992595
Jaén,38.156031,-3.032623
Jaén,38.019492,-3.727424
Jaén,37.779903,-3.789780
Jaén,37.747259,-3.913057
Jaén,37.841834,-3.477827
Jaén,37.839404,-3.351942
Jaén,37.971089,-3.990408
Jaén,37.760010,-3.201873
Jaén,38.095888,-3.631271
Jaén,37.946439,-4.215006
Jaén,37.997390,-3.546090
Jaén,37.788528,-3.608665
Jaén,38.045208,-4.170736
Jaén,37.714302,-3.971247
Jaén,37.972418,-3.803094
Jaén,38.342542,-3.103354
Jaén,38.183773,-3.315419
Jaén,37.529166,-3.654334
Jaén,38.318689,-2.664738
Jaén,37.913688,-3.120639
Jaén,37.739773,-3.646528
Jaén,37.870810,-4.183526
Jaén,37.702554,-2.935002
Jaén,38.354890,-2.802374
Jaén,38.351997,-2.738973
Jaén,37.843467,-3.067563
Jaén,38.046813,-3.460640
Jaén,38.067659,-3.312136
Jaén,38.341424,-3.539430
Jaén,37.753866,-4.170052
Jaén,38.110877,-2.552870
Jaén,38.250904,-3.203165
Jaén,38.027398,-3.101814
Jaén,38.298167,-2.651544
Jaén,38.387568,-2.582630
Jaén,38.241821,-3.053718
Jaén,37.996788,-3.638786
Jaén,37.773484,-3.895886
Jaén,37.763827,-3.950541
Jaén,38.036537,-3.290589
Jaén,37.785073,-3.508517
Jaén,38.415038,-2.677345
Jaén,38.016013,-3.372181
Jaén,37.590307,-3.816649
Jaén,38.210848,-3.512366
Jaén,38.115453,-3.084562
Jaén,38.004960,-3.916047
Jaén,38.171000,-3.004136
Jaén,37.838464,-4.001985
Jaén,37.690518,-3.816409
Jaén,38.487688,-2.636703
Jaén,37.939046,-3.729332
Málaga,37.207992,-4.656062
Málaga,36.902661,-4.116201
Málaga,36.994387,-4.259470
Málaga,36.978975,-4.272501
Málaga,36.773505,-4.039140
Málaga,36.573413,-5.275679
Málaga,36.660343,-4.564589
Málaga,36.642756,-4.687068
Málaga,36.808439,-4.216780
Málaga,37.002463,-5.023432
Málaga,36.828928,-4.541215
Málaga,36.826420,-4.704774
Málaga,36.727184,-4.858297
Málaga,36.633828,-5.202639
Málaga,37.020380,-4.563202
Málaga,36.838693,-3.990576
Málaga,37.096179,-4.381548
Málaga,36.878499,-4.845518
Málaga,36.815953,-4.044343
Málaga,36.797356,-5.139444
Málaga,36.640186,-5.245017
Málaga,36.606431,-5.269072
Málaga,36.522369,-5.044933
Málaga,36.594079,-5.260841
Málaga,36.595611,-4.569569
Málaga,36.834706,-4.193657
Málaga,36.791298,-4.161490
Málaga,36.720555,-5.251267
Málaga,36.550847,-5.275974
Málaga,36.814599,-4.235061
Málaga,36.790595,-4.948756
Málaga,37.047279,-4.863980
Málaga,36.953338,-5.025370
Málaga,36.874198,-4.084381
Málaga,36.845837,-3.986236
Málaga,36.853268,-4.820903
Málaga,36.646026,-5.154338
Málaga,36.712141,-4.630902
Málaga,36.894381,-4.430325
Málaga,36.786195,-4.842177
Málaga,36.444534,-5.271717
Málaga,36.660180,-4.757226
Málaga,36.904684,-4.338291
Málaga,36.849130,-4.248290
Málaga,36.833737,-3.974218
Málaga,36.617690,-5.340961
Málaga,37.234229,-4.486434
Málaga,37.266896,-4.412259
Málaga,36.874587,-5.045548
Málaga,36.831076,-4.228258
Málaga,36.424900,-5.154538
Málaga,36.616273,-5.187780
Málaga,36.789369,-3.896319
Málaga,36.552193,-4.617738
Málaga,37.134826,-4.728162
Málaga,36.519130,-5.319007
Málaga,36.545387,-5.235348
