"","x"
"254",15.4466666666667
"255",15.4066666666667
"256",15.4266666666667
"257",15.42
"258",16.2611217196249
"259",16.3677883862916
"260",16.5544550529582
"261",16.9877883862916
"262",17.0077883862916
"263",16.9477883862916
"264",16.3811217196249
"265",15.8344550529582
"266",15.5277883862916
"267",15.6344550529582
"268",16.0411217196249
"269",16.4677883862916
"270",16.9811217196249
"271",16.7944550529582
"272",16.8277883862916
"273",16.0733333333333
"274",16.3666666666667
"275",16.5133333333333
"276",16.42
"277",16.4266666666667
"278",16.3866666666667
"279",16.5733333333333
"280",16.82
"281",17.0666666666667
"282",16.8666666666667
"283",16.5866666666667
"284",16.2133333333333
"285",16.1266666666667
"286",16.4
"287",16.5133333333333
"288",16.58
"289",16.6842966879536
"290",16.5576300212869
"291",16.6976300212869
"292",16.7376300212869
"293",17.0442966879536
"294",17.1642966879536
"295",17.2442966879536
"296",18.3056363216679
"297",18.2688655488146
"298",18.6955322154812
"299",19.5155322154812
"300",19.7688655488146
"301",20.0155322154812
"302",20.2488655488146
"303",20.4452628380098
"304",20.2809661500562
"305",20.8749802457323
"306",20.801646912399
"307",20.901646912399
"308",20.601646912399
"309",20.621646912399
"310",20.6683135790656
"311",19.6269739453513
"312",19.9437447182047
"313",19.337078051538
"314",18.797078051538
"315",18.3304113848713
"316",18.2837447182047
"317",18.097078051538
"318",18.1873474290095
"319",18.7140140956761
"320",18.2733333333333
"321",18.42
"322",18.52
"323",18.8066666666667
"324",19.0333333333333
"325",19.1666666666667
"326",19.8533333333333
"327",20.7279853718438
"328",21.1413187051771
"329",21.2479853718438
"330",21.3879853718438
"331",21.4679853718438
"332",21.5946520385105
"333",22.2905584322463
"334",22.0505584322463
"335",22.1638917655796
"336",22.7036222938199
"337",22.7569556271532
"338",22.9102889604866
"339",22.9836222938199
"340",23.6695926373823
"341",23.1864421828066
"342",22.9451234776294
"343",23.0517901442961
"344",23.4051234776294
"345",23.9117901442961
"346",24.0251234776294
"347",24.1784568109628
"348",23.9769895420052
"349",23.9836562086719
"350",23.5434761672472
"351",23.0332235817455
"352",23.2465569150788
"353",23.4198902484122
"354",23.1732235817455
"355",23.1940799012568
"356",23.4705636891659
"357",23.1705636891658
"358",23.1505636891659
"359",23.0638970224992
"360",22.6905636891659
"361",22.6838970224992
"362",22.7972303558325
"363",22.4494578977209
"364",22.6427912310543
"365",23.2563046058123
"366",23.2534933297404
"367",23.1268266630737
"368",23.1134933297404
"369",23.3668266630737
"370",22.8
"371",22.8066666666667
"372",22.9733333333333
"373",23.2266666666667
"374",23.32
"375",23.872260079497
"376",24.0686794190833
"377",24.2620127524167
"378",24.25534608575
"379",24.21534608575
"380",24.51534608575
"381",25.19534608575
"382",25.7086794190833
"383",25.0814783943397
"384",24.4199383055641
"385",25.1066049722308
"386",25.8932716388974
"387",26.5732716388974
"388",26.8866049722308
"389",27.0066049722308
"390",26.9610115594005
"391",26.6967902104359
"392",26.7167902104359
"393",27.0501235437692
"394",27.4234568771025
"395",27.3234568771025
"396",27.2167902104359
"397",26.6727552331468
"398",27.4132895912237
"399",28.621496346666
"400",28.2881630133327
"401",27.8281630133327
"402",27.521496346666
"403",27.3081630133327
"404",27.2879349708452
"405",26.9438294764556
"406",27.203042041276
"407",27.5497087079427
"408",27.6697087079427
"409",27.4963753746093
"410",27.443042041276
"411",27.5763753746093
"412",28.1404103518984
"413",28.4204103518984
"414",27.2356074554635
"415",27.3222741221301
"416",27.3689407887968
"417",27.2089407887968
"418",27.2756074554635
"419",27.2770455664723
"420",26.5345248511556
"421",26.2502813575594
"422",26.2302813575594
"423",26.4036146908927
"424",26.8702813575594
"425",27.2036146908927
"426",27.176948024226
"427",27.136948024226
"428",27.176948024226
"429",28.3350842539943
"430",28.4884175873277
"431",28.5950842539943
"432",28.561750920661
"433",27.9331048318063
"434",28.1518947632849
"435",29.2385209729911
"436",29.8380205778119
"437",29.7246872444786
"438",29.5046872444786
"439",29.1246872444786
"440",29.0513539111453
"441",29.1380205778119
"442",29.1446872444786
"443",29.0513539111453
"444",29.1713539111453
"445",29.1713539111453
"446",28.8980205778119
"447",29.1846872444786
"448",29.8533333333333
"449",29.8
"450",29.5066666666667
"451",29.4066666666667
"452",29.3266666666667
"453",28.6383723169113
"454",28.4783723169112
"455",28.3716814337296
"456",28.1316814337296
"457",28.045014767063
"458",27.885014767063
"459",27.6583481003963
"460",26.8745640950857
"461",27.1012307617524
"462",26.9212307617524
"463",26.9012307617524
"464",26.2469696051157
"465",26.5469696051157
"466",26.680302938449
"467",26.1105965726019
"468",26.6655575890239
"469",26.7522242556906
"470",26.7389151388722
"471",26.8989151388722
"472",27.0589151388722
"473",27.1655818055389
"474",27.2655818055389
"475",28.0826991441828
"476",28.5202298905186
"477",28.5068965571853
"478",28.413563223852
"479",29.001157713822
